Q1,Q2,Q3,Q4,Q5_3,I9#1_1,I9#1_2,I9#1_3,I9#1_4,I9#1_5,I9#1_6,I9#1_7,I9#1_8,I11,I12,I13,I14_1
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,6.7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,Yes,6.5
Female,Bachelor's Degree,Caucasian or White,Donald Trump,6,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,No,1.9
Male,Bachelor's Degree,Caucasian or White,Donald Trump,6,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Female,Some College,Caucasian or White,Did not vote,6.1,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,No,No,1.2
Male,Bachelor's Degree,Caucasian or White,Donald Trump,3.9,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,4
Male,Master's Degree,Caucasian or White,Hillary Clinton,2.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6
Male,Master's Degree,Caucasian or White,Hillary Clinton,3.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6
Male,Master's Degree,Caucasian or White,Other,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.1
Female,Doctoral Degree or Equivalent,Asian,Hillary Clinton,4.5,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Yes,No,No,5
Male,Some College,Caucasian or White,Hillary Clinton,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,7
Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Male,Master's Degree,Caucasian or White,Did not vote,2.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,4.2
Female,Some College,Caucasian or White,Hillary Clinton,5,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,No,No,2.3
Female,Bachelor's Degree,Asian,Other,4.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,No,No,4
Female,Master's Degree,Caucasian or White,Donald Trump,3.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,Yes,No,3.3
Male,Some College,Caucasian or White,Did not vote,3.9,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,3
Male,Some College,Caucasian or White,Hillary Clinton,2.7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,7
Male,Master's Degree,Caucasian or White,Hillary Clinton,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Some College,Caucasian or White,Other,4,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,No,2.4
Male,Some College,Caucasian or White,Donald Trump,5.7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,Yes,4
Male,Some College,Caucasian or White,Donald Trump,5.4,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Male,Bachelor's Degree,Hispanic or Latino,Other,6,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,4
Male,Bachelor's Degree,Caucasian or White,Other,4.2,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,Yes,No,2
Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.8,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,Yes,4.1
Female,High School,African American or Black,Hillary Clinton,3.9,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,Yes,4
Male,Master's Degree,Caucasian or White,Hillary Clinton,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6
Male,Bachelor's Degree,Caucasian or White,Donald Trump,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,No,No,No,1.3
Male,Master's Degree,Caucasian or White,Hillary Clinton,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,5.5
Male,Some College,Caucasian or White,Donald Trump,5.6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,1.6
Female,Master's Degree,Caucasian or White,Hillary Clinton,3.4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,4
Male,Some College,Caucasian or White,Donald Trump,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,No,No,No,1.3
Male,Bachelor's Degree,African American or Black,Other,4.9,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Some College,Caucasian or White,Hillary Clinton,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Some College,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,No,1
Male,High School,Caucasian or White,Did not vote,3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5.5
Female,Bachelor's Degree,African American or Black,Hillary Clinton,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,5.1
Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,1
Male,High School,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,No,1.1
Male,Some College,Caucasian or White,Other,2,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5.5
Female,Master's Degree,African American or Black,Hillary Clinton,4,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,7
Female,Master's Degree,Caucasian or White,Did not vote,5,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,3
Male,Bachelor's Degree,Hispanic or Latino,Donald Trump,6,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Female,Bachelor's Degree,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,No,No,1
Female,Some College,Caucasian or White,Hillary Clinton,3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.9
Female,Some College,Caucasian or White,Donald Trump,7,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,3
Female,Some College,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,No,7
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,3
Male,Master's Degree,Caucasian or White,Donald Trump,5.8,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,1.3
Male,Some College,Caucasian or White,Hillary Clinton,6,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,5.6
Female,Bachelor's Degree,Caucasian or White,Did not vote,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,6.5
Male,Bachelor's Degree,Caucasian or White,Other,5.1,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Yes,Yes,No,4
Male,Some College,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,4
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.2
Male,Some College,Caucasian or White,Hillary Clinton,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Some College,Caucasian or White,Hillary Clinton,5.1,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,6
Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Male,Some College,Caucasian or White,Did not vote,6,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Yes,No,No,1
Male,Some College,Caucasian or White,Other,2.8,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5.1
Male,Some College,Caucasian or White,Other,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,4
Female,High School,Caucasian or White,Did not vote,5,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,5.2
Male,Master's Degree,African American or Black,Hillary Clinton,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Bachelor's Degree,Hispanic or Latino,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,2.2
Male,Master's Degree,Caucasian or White,Donald Trump,6.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,No,No,3.5
Female,Some College,Caucasian or White,Hillary Clinton,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,7
Male,Master's Degree,Caucasian or White,Donald Trump,6.8,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,No,No,4
Male,Master's Degree,Caucasian or White,Hillary Clinton,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,1
Female,Some College,Native American or American Indian,Did not vote,5,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,1
Male,High School,Caucasian or White,Other,1,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,No,No,No,1
Female,Bachelor's Degree,Caucasian or White,Donald Trump,6.7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Yes,Yes,Yes,6
Male,Some College,Caucasian or White,Hillary Clinton,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.9,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,7
Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.7,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be deported,Yes,No,No,1.4
Female,Some College,Caucasian or White,Did not vote,5.9,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,7
Male,Doctoral Degree or Equivalent,Asian,Did not vote,5.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,2.7
Male,Bachelor's Degree,Caucasian or White,Other,2,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5
Female,Some College,Caucasian or White,Other,5.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,6
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.4
Female,Bachelor's Degree,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Male,Some College,Hispanic or Latino,Other,5,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,7
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,5
Male,Some College,Caucasian or White,Hillary Clinton,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,5.1
Male,Bachelor's Degree,Caucasian or White,Donald Trump,6.1,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Yes,Yes,Yes,5.7
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,6.6
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.5,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Yes,Yes,Yes,5
Female,High School,Caucasian or White,Donald Trump,4.7,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,No,No,No,1.9
Male,Some College,Hispanic or Latino,Hillary Clinton,4.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Master's Degree,Caucasian or White,Hillary Clinton,6.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,1.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,No,No,7
Female,Some College,Caucasian or White,Hillary Clinton,5.7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,High School,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,6.1
Male,High School,Caucasian or White,Did not vote,1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Bachelor's Degree,Caucasian or White,Donald Trump,6.2,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,3
Female,Some College,Caucasian or White,Donald Trump,6,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Male,Some College,Caucasian or White,Did not vote,3,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,No,No,No,6
Female,Some College,African American or Black,Hillary Clinton,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,6.1
Female,Bachelor's Degree,Caucasian or White,Donald Trump,6,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Male,Master's Degree,Caucasian or White,Donald Trump,5,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Female,Some College,Caucasian or White,Donald Trump,6.5,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Female,Master's Degree,Other,Hillary Clinton,6.7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Some College,Caucasian or White,Did not vote,5,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,4.1
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5.9
Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1.1
Female,Bachelor's Degree,Caucasian or White,Other,6.1,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,No,3.6
Male,Some College,Asian,Did not vote,5.9,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5.5
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.6
Male,Bachelor's Degree,Caucasian or White,Did not vote,5,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,1.4
Female,Master's Degree,Asian,Did not vote,4.6,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Female,Some College,Caucasian or White,Donald Trump,5.4,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,No,No,2.5
Female,Master's Degree,Caucasian or White,Did not vote,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5
Female,Master's Degree,Caucasian or White,Donald Trump,3.1,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Female,Some College,Caucasian or White,Did not vote,6,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,No,No,No,1
Female,Master's Degree,Caucasian or White,Hillary Clinton,4.3,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Female,Bachelor's Degree,African American or Black,Hillary Clinton,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,Yes,4.1
Female,Master's Degree,Caucasian or White,Donald Trump,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,2.6
Male,Master's Degree,Caucasian or White,Donald Trump,5.9,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1.9
Female,High School,Caucasian or White,Did not vote,4.4,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,No,6
Female,Some College,Asian,Hillary Clinton,3.7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,Yes,Yes,4.9
Male,Some College,Caucasian or White,Did not vote,3.9,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,4
Male,Bachelor's Degree,Pacific Islander,Hillary Clinton,3.2,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5.5
Male,High School,Caucasian or White,Donald Trump,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,Yes,Yes,4.8
Male,High School,Caucasian or White,Hillary Clinton,2,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,5
