Language,yearsInUS,deportIllegal,Vote,knowUndocumented,TrumpDiscrimination,AgeOrig,Sex1,BornInUS
EN,NA,1,Did Not Vote,1,3,18-24,Male,1
ES,3,1,Other,1,NA,31-40,Female,0
EN,4,1,Trump,1,1,18-24,Male,NA
EN,3,0,Other,1,2.7,25-30,Male,0
EN,5,0,Clinton,1,6,31-40,Female,1
EN,4,0,Did Not Vote,1,5.1,18-24,Female,1
EN,2,0,Did Not Vote,1,6.2,18-24,Female,0
EN,4,0,Did Not Vote,1,7,18-24,Female,1
EN,2,1,Did Not Vote,1,1,18-24,Male,0
EN,4,0,Clinton,1,4.1,18-24,Female,1
EN,3,0,Clinton,1,6.1,18-24,Female,1
EN,NA,NA,NA,NA,NA,NA,NA,NA
EN,4,0,Clinton,1,7,18-24,Female,1
EN,4,0,Other,1,NA,18-24,Female,1
EN,4,1,Other,1,7,25-30,Female,1
EN,4,0,Other,1,5,25-30,Female,1
EN,3,0,Did Not Vote,1,7,18-24,Female,0
EN,3,1,Did Not Vote,1,7,18-24,Female,1
EN,3,0,Did Not Vote,1,6,18-24,Female,1
EN,4,0,Clinton,1,6,18-24,Female,1
EN,3,0,Clinton,1,NA,18-24,Female,1
ES,1,0,Did Not Vote,1,7,31-40,Female,0
EN,4,0,Clinton,1,7,18-24,Female,NA
ES,3,0,Did Not Vote,1,5.4,41-50,Male,0
EN,4,0,Did Not Vote,1,6.5,25-30,Female,1
EN,5,0,Other,1,NA,31-40,Female,0
ES,1,0,Did Not Vote,1,6.1,51-60,Male,0
EN,4,0,Clinton,1,7,51-60,Female,0
ES,NA,NA,NA,NA,NA,NA,NA,NA
EN,4,0,Did Not Vote,1,6,25-30,Female,0
EN,4,0,Clinton,1,7,25-30,Female,1
EN,5,1,Other,1,5.4,31-40,Female,1
EN,5,1,Trump,1,NA,31-40,Male,0
ES,4,0,Did Not Vote,1,7,41-50,Female,0
ES,3,0,Did Not Vote,1,7,41-50,Female,0
EN,1,0,Did Not Vote,1,7,18-24,Female,0
