Language,yearsInUS,deportIllegal,Vote,knowUndocumented,TrumpDiscrimination,AgeOrig,Sex1,BornInUS
EN,4,0,Did Not Vote,1,7,18-24,Female,1
EN,4,0,Did Not Vote,0,5.9,25-30,Male,1
EN,3,0,Clinton,0,6.5,25-30,Female,NA
EN,3,0,Did Not Vote,1,7,18-24,Female,0
EN,5,0,Clinton,0,4.1,31-40,Male,1
EN,3,0,Did Not Vote,1,1.9,18-24,Female,1
EN,3,1,Clinton,1,7,18-24,Female,1
EN,3,0,Clinton,1,6.2,18-24,Female,0
EN,5,1,Clinton,1,5.7,41-50,Female,NA
EN,4,0,Did Not Vote,0,6,25-30,Female,1
EN,5,0,Did Not Vote,1,NA,41-50,Female,0
EN,4,1,Did Not Vote,0,3.9,25-30,Male,1
EN,2,0,Trump,1,3.7,25-30,Female,0
EN,3,0,Clinton,0,7,18-24,Female,1
EN,5,0,Clinton,0,6,61+,Female,1
EN,4,1,Clinton,1,6.9,41-50,Female,1
EN,2,0,Clinton,0,7,18-24,Female,NA
EN,5,0,Clinton,1,7,41-50,Female,0
EN,1,0,Clinton,0,5.7,41-50,Female,1
EN,5,0,Clinton,0,6,41-50,Female,1
EN,5,0,Trump,1,NA,31-40,Male,1
EN,5,1,Did Not Vote,0,3.1,31-40,Female,1
EN,4,1,Did Not Vote,0,2.1,31-40,Female,NA
EN,3,1,Did Not Vote,0,2.5,18-24,Female,1
ES,3,0,Did Not Vote,1,7,51-60,Female,0
EN,2,1,Trump,1,6.4,25-30,Female,1
EN,5,0,Did Not Vote,1,5.5,31-40,Female,NA
EN,1,1,Did Not Vote,0,6.1,31-40,Female,0
EN,3,1,Clinton,1,5.6,41-50,Female,1
EN,4,1,Clinton,1,NA,31-40,Female,1
EN,1,1,Did Not Vote,1,4.9,31-40,Male,1
EN,5,1,Clinton,1,7,31-40,Female,NA
EN,4,1,Did Not Vote,0,1,25-30,Female,1
EN,5,1,Clinton,1,6.8,61+,Female,1
EN,1,0,Did Not Vote,1,4,18-24,Female,1
EN,2,0,Other,1,6.4,31-40,Female,1
EN,5,1,Did Not Vote,0,4.5,41-50,Male,1
EN,3,1,Trump,1,7,25-30,Male,1
EN,1,0,Other,1,7,18-24,Female,NA
EN,2,0,Clinton,1,7,18-24,Female,NA
EN,3,0,Clinton,0,7,51-60,Female,1
EN,5,1,Clinton,0,4,41-50,Female,1
EN,5,0,Clinton,0,7,51-60,Female,0
EN,5,1,Clinton,1,6.8,31-40,Male,1
ES,2,0,Trump,1,1.9,25-30,Male,0
EN,1,1,Did Not Vote,0,6,41-50,Female,0
EN,5,1,Other,0,1,61+,Male,NA
ES,1,0,Trump,1,5.7,18-24,Male,0
EN,4,0,Did Not Vote,0,4,25-30,Male,1
EN,4,0,Clinton,1,3.6,25-30,Female,1
EN,5,0,Did Not Vote,1,6,31-40,Female,1
EN,5,0,Did Not Vote,1,7,41-50,Male,NA
EN,3,0,Other,1,5.7,18-24,Female,1
EN,1,1,Clinton,1,6,18-24,Male,1
EN,3,0,Clinton,1,6.1,18-24,Female,0
EN,5,0,Clinton,1,7,31-40,Male,1
EN,5,0,Clinton,1,6.9,31-40,Male,1
EN,3,0,Did Not Vote,1,5.1,18-24,Male,1
EN,5,0,Did Not Vote,0,3.9,31-40,Female,1
EN,5,0,Clinton,0,7,31-40,Male,1
EN,4,0,Clinton,0,4.9,25-30,Female,1
EN,5,1,Did Not Vote,0,7,31-40,Female,1
EN,5,0,Clinton,1,6.1,31-40,Female,1
EN,5,1,Trump,0,2,51-60,Female,1
EN,5,1,Other,0,5.4,31-40,Female,1
EN,5,1,Trump,0,3,51-60,Male,1
EN,3,0,Other,0,1,18-24,Male,1
EN,4,0,Did Not Vote,1,7,25-30,Female,1
EN,4,0,Clinton,1,NA,25-30,Female,1
EN,4,1,Did Not Vote,0,4.5,25-30,Male,1
EN,5,0,Did Not Vote,1,6.9,31-40,Female,1
EN,5,NA,Did Not Vote,0,7,31-40,Male,1
EN,5,0,Other,1,7,31-40,Male,1
EN,3,1,Other,0,4.9,18-24,Male,1
EN,5,0,Did Not Vote,1,5.4,31-40,Female,1
EN,5,1,Clinton,1,6.1,41-50,Male,1
EN,5,0,Clinton,0,6.8,18-24,Female,1
EN,4,0,Trump,1,5.5,31-40,Male,1
EN,5,1,Did Not Vote,1,5,41-50,Female,1
EN,5,1,Did Not Vote,0,5.2,31-40,Female,1
EN,4,0,Other,1,7,31-40,Female,0
EN,5,1,Other,1,1.1,31-40,Male,NA
EN,5,0,Clinton,0,3.7,51-60,Male,0
EN,3,0,Did Not Vote,0,5.1,18-24,Female,1
EN,5,0,Clinton,0,7,18-24,Female,NA
EN,5,1,Trump,1,1,51-60,Male,1
EN,4,0,Other,0,6.3,25-30,Female,1
EN,5,0,Clinton,1,7,61+,Female,1
EN,1,0,Did Not Vote,0,7,25-30,Female,0
EN,5,1,Did Not Vote,1,4.8,41-50,Female,1
EN,4,0,Did Not Vote,1,4.9,25-30,Male,1
EN,4,0,Clinton,1,7,25-30,Female,1
EN,5,0,Clinton,0,4,31-40,Female,1
EN,5,1,Trump,1,1,51-60,Male,1
EN,5,1,Clinton,0,5.2,31-40,Female,1
EN,1,1,Clinton,1,1.2,25-30,Male,0
EN,5,1,Trump,0,5.6,51-60,Female,1
EN,5,0,Other,0,5,25-30,Female,1
ES,5,1,Clinton,1,6.9,51-60,Male,1
EN,3,0,Clinton,0,6,41-50,Female,0
EN,4,0,Did Not Vote,0,4.2,25-30,Female,NA
EN,3,0,Did Not Vote,1,5.4,18-24,Female,NA
EN,3,0,Clinton,1,5.4,31-40,Female,NA
EN,3,0,Clinton,1,6.1,18-24,Female,NA
EN,5,NA,Did Not Vote,1,4.1,31-40,Female,NA
EN,5,1,Other,1,3,51-60,Male,1
EN,5,0,Clinton,0,7,51-60,Female,0
ES,3,0,Trump,1,6.3,25-30,Male,0
EN,4,0,Clinton,1,7,25-30,Female,0
EN,3,0,Did Not Vote,1,4.9,18-24,Male,0
EN,3,1,Did Not Vote,1,7,18-24,Female,NA
EN,5,1,Trump,0,3,51-60,Female,1
EN,5,0,Clinton,0,7,31-40,Male,NA
EN,5,1,Clinton,1,7,61+,Male,1
EN,3,0,Clinton,0,5.8,18-24,Female,1
EN,5,0,Clinton,1,5.5,41-50,Male,1
EN,5,0,Did Not Vote,0,NA,61+,Female,1
EN,2,0,Clinton,1,5.3,41-50,Male,0
EN,3,1,Clinton,1,2.5,25-30,Male,0
EN,5,1,Clinton,1,6.1,61+,Female,0
EN,5,0,Did Not Vote,1,1.2,41-50,Female,0
EN,3,0,Did Not Vote,0,3,18-24,Female,1
EN,5,0,Clinton,0,3,25-30,Female,1
EN,4,1,Trump,0,5.1,25-30,Male,1
EN,5,0,Clinton,1,6.2,31-40,Female,1
EN,5,1,Did Not Vote,0,7,51-60,Male,1
EN,4,0,Clinton,0,5,25-30,Female,1
EN,5,0,Did Not Vote,1,6.2,31-40,Female,1
EN,5,0,Clinton,0,6,31-40,Female,1
EN,5,1,Trump,1,5.4,31-40,Female,1
EN,5,0,Did Not Vote,0,7,51-60,Male,1
EN,2,0,Clinton,0,7,25-30,Female,0
EN,5,1,Trump,0,1,41-50,Male,0
EN,5,1,Other,1,3,31-40,Male,0
EN,5,0,Trump,0,5.4,41-50,Female,NA
EN,4,0,Clinton,1,7,25-30,Female,NA
EN,4,0,Did Not Vote,1,7,18-24,Female,1
EN,5,0,Clinton,0,7,31-40,Female,1
EN,5,0,Clinton,0,6.1,61+,Male,1
EN,5,1,Trump,1,1,31-40,Female,1
ES,5,0,Trump,1,5,31-40,Female,1
ES,1,0,Did Not Vote,0,NA,31-40,Male,1
EN,3,0,Clinton,1,7,18-24,Female,1
EN,4,1,Trump,0,2.2,25-30,Female,1
EN,4,0,Clinton,1,5.8,31-40,Male,1
EN,4,0,Clinton,0,5.4,51-60,Female,0
EN,1,0,Trump,1,4.8,25-30,Female,1
EN,5,1,Trump,0,3,61+,Male,1
EN,4,0,Did Not Vote,1,5.5,18-24,Female,NA
EN,4,0,Clinton,1,7,18-24,Female,1
EN,4,1,Did Not Vote,0,2.7,25-30,Female,1
